Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2016-09-23,6.31,6.65,6.31,6.55,61022355.0,0.0,1.0,6.31,6.65,6.31,6.55,61022355.0
2016-09-22,6.35,6.44,6.33,6.37,35848186.0,0.0,1.0,6.35,6.44,6.33,6.37,35848186.0
2016-09-21,6.2,6.32,6.14,6.29,33450003.0,0.0,1.0,6.2,6.32,6.14,6.29,33450003.0
2016-09-20,6.23,6.28,6.12,6.17,28990858.0,0.0,1.0,6.23,6.28,6.12,6.17,28990858.0
2016-09-19,6.12,6.275,6.08,6.16,37837160.0,0.0,1.0,6.12,6.275,6.08,6.16,37837160.0
2016-09-16,6.22,6.22,5.97,6.05,47829445.0,0.0,1.0,6.22,6.22,5.97,6.05,47829445.0
2016-09-15,6.09,6.2,5.95,6.02,52718477.0,0.0,1.0,6.09,6.2,5.95,6.02,52718477.0
2016-09-14,5.75,6.0766,5.75,6.04,64344764.0,0.0,1.0,5.75,6.0766,5.75,6.04,64344764.0
2016-09-13,5.92,5.95,5.66,5.74,50819506.0,0.0,1.0,5.92,5.95,5.66,5.74,50819506.0
2016-09-12,5.83,6.065,5.77,5.94,78014372.0,0.0,1.0,5.83,6.065,5.77,5.94,78014372.0
2016-09-09,6.23,6.24,5.85,5.9,170828036.0,0.0,1.0,6.23,6.24,5.85,5.9,170828036.0
2016-09-08,6.64,6.65,6.15,6.225,90814651.0,0.0,1.0,6.64,6.65,6.15,6.225,90814651.0
2016-09-07,7.05,7.07,6.78,6.84,57721907.0,0.0,1.0,7.05,7.07,6.78,6.84,57721907.0
2016-09-06,7.56,7.6,7.25,7.34,24994613.0,0.0,1.0,7.56,7.6,7.25,7.34,24994613.0
2016-09-02,7.49,7.64,7.38,7.51,18538362.0,0.0,1.0,7.49,7.64,7.38,7.51,18538362.0
2016-09-01,7.18,7.44,7.09,7.35,22284592.0,0.0,1.0,7.18,7.44,7.09,7.35,22284592.0
2016-08-31,7.52,7.52,7.28,7.4,18808801.0,0.0,1.0,7.52,7.52,7.28,7.4,18808801.0
2016-08-30,7.61,7.64,7.41,7.49,16088129.0,0.0,1.0,7.61,7.64,7.41,7.49,16088129.0
2016-08-29,7.72,7.79,7.57,7.59,16916273.0,0.0,1.0,7.72,7.79,7.57,7.59,16916273.0
2016-08-26,7.49,7.8,7.46,7.67,31387878.0,0.0,1.0,7.49,7.8,7.46,7.67,31387878.0
2016-08-25,7.49,7.49,7.2,7.465,16451281.0,0.0,1.0,7.49,7.49,7.2,7.465,16451281.0
2016-08-24,7.67,7.67,7.37,7.43,22943869.0,0.0,1.0,7.67,7.67,7.37,7.43,22943869.0
2016-08-23,7.66,7.74,7.53,7.67,27531065.0,0.0,1.0,7.66,7.74,7.53,7.67,27531065.0
2016-08-22,7.83,7.95,7.37,7.58,41519225.0,0.0,1.0,7.83,7.95,7.37,7.58,41519225.0
2016-08-19,7.24,8.0,7.22,7.62,75129305.0,0.0,1.0,7.24,8.0,7.22,7.62,75129305.0
2016-08-18,6.74,7.07,6.725,7.04,30783305.0,0.0,1.0,6.74,7.07,6.725,7.04,30783305.0
2016-08-17,6.7,6.75,6.61,6.68,13791311.0,0.0,1.0,6.7,6.75,6.61,6.68,13791311.0
2016-08-16,6.94,6.94,6.65,6.78,26768769.0,0.0,1.0,6.94,6.94,6.65,6.78,26768769.0
2016-08-15,6.79,6.97,6.78,6.95,28339380.0,0.0,1.0,6.79,6.97,6.78,6.95,28339380.0
2016-08-12,6.6,6.79,6.55,6.73,25466386.0,0.0,1.0,6.6,6.79,6.55,6.73,25466386.0
2016-08-11,6.5,6.59,6.46,6.58,13240292.0,0.0,1.0,6.5,6.59,6.46,6.58,13240292.0
2016-08-10,6.35,6.58,6.25,6.49,29070733.0,0.0,1.0,6.35,6.58,6.25,6.49,29070733.0
2016-08-09,6.75,6.78,6.54,6.6,16772428.0,0.0,1.0,6.75,6.78,6.54,6.6,16772428.0
2016-08-08,6.7,6.85,6.65,6.68,21462238.0,0.0,1.0,6.7,6.85,6.65,6.68,21462238.0
2016-08-05,6.56,6.76,6.47,6.61,20163999.0,0.0,1.0,6.56,6.76,6.47,6.61,20163999.0
2016-08-04,6.39,6.61,6.37,6.47,22411032.0,0.0,1.0,6.39,6.61,6.37,6.47,22411032.0
2016-08-03,6.18,6.45,6.15,6.3,23807809.0,0.0,1.0,6.18,6.45,6.15,6.3,23807809.0
2016-08-02,6.56,6.6,6.15,6.26,40816397.0,0.0,1.0,6.56,6.6,6.15,6.26,40816397.0
2016-08-01,6.89,6.92,6.57,6.64,26729026.0,0.0,1.0,6.89,6.92,6.57,6.64,26729026.0
2016-07-29,6.88,6.96,6.75,6.86,22580538.0,0.0,1.0,6.88,6.96,6.75,6.86,22580538.0
2016-07-28,6.79,6.98,6.735,6.82,27515622.0,0.0,1.0,6.79,6.98,6.735,6.82,27515622.0
2016-07-27,6.93,6.98,6.68,6.85,38567259.0,0.0,1.0,6.93,6.98,6.68,6.85,38567259.0
2016-07-26,6.76,7.1599,6.71,6.98,81230638.0,0.0,1.0,6.76,7.1599,6.71,6.98,81230638.0
2016-07-25,5.93,6.95,5.92,6.7,118328614.0,0.0,1.0,5.93,6.95,5.92,6.7,118328614.0
2016-07-22,5.73,5.97,5.45,5.84,101838278.0,0.0,1.0,5.73,5.97,5.45,5.84,101838278.0
2016-07-21,5.43,5.45,5.1,5.22,40242023.0,0.0,1.0,5.43,5.45,5.1,5.22,40242023.0
2016-07-20,5.48,5.5,5.4,5.41,20102373.0,0.0,1.0,5.48,5.5,5.4,5.41,20102373.0
2016-07-19,5.5,5.55,5.34,5.41,23439607.0,0.0,1.0,5.5,5.55,5.34,5.41,23439607.0
2016-07-18,5.19,5.57,5.13,5.51,38619404.0,0.0,1.0,5.19,5.57,5.13,5.51,38619404.0
2016-07-15,5.2,5.2,5.1,5.14,14219263.0,0.0,1.0,5.2,5.2,5.1,5.14,14219263.0
2016-07-14,5.15,5.235,5.06,5.17,20050141.0,0.0,1.0,5.15,5.235,5.06,5.17,20050141.0
2016-07-13,5.14,5.19,5.04,5.09,14032518.0,0.0,1.0,5.14,5.19,5.04,5.09,14032518.0
2016-07-12,5.01,5.17,5.01,5.14,20832476.0,0.0,1.0,5.01,5.17,5.01,5.14,20832476.0
